"","text"
"1","love  echo"
"2","loved "
"3","sometimes  playing  game   answer  question correctly  alexa     wrong  answers         able   lights       home"
"4","    lot  fun      yr  learns  dinosaurs  control  lights  play games  categories  nice sound  playing music  "
"5","music"
"6"," received  echo   gift    bluetooth    play music easily accessible  found  smart speaker cant wait    else   "
"7","   cellphone       features    ipad              alarm      deaf   hear  alarm   bedroom     living     reason    herit  fun   random questions  hear  response         smartbon politics "
"8","     th  ive purchased im   getting       house     features  offer specifily playing music   echos  controlling  lights throughout  house"
"9","looks "
"10","love  ive listened  songs  havent heard  childhood    news weather information  "
"11"," sent       dad   talks   constantly"
"12"," love  learning     eveyday  figuring          easy    understand     laugh  times"
"13"," purchased    mother    knee          trying     getting   fast   didshe enjoys   little      doalexa play  song  time        cook   "
"14","love love love"
"15","   expected"
"16"," love  wife hates "
"17"," happy   purchase   speaker  easy  set "
"18","    using alexa   couple  days     lot  fun    toy      household    trying  learn    featues  benefits    "
"19"," love  size   nd generation echo    little improvement  sound"
"20"," liked  original echo      shorter    fabriccolor choices  miss  volume ring  top     plusminus buttons    deal   ring   comforting             standard usb charger port instead   previous round pin     guess  sounds         answers  alexaechocomputer  whats    "
"21","love  echo     music sounds playing   alexa understands  commands    difficult  times     specific playlists  songs  spotify     amazon music   lacking   major programs"
"22"," love alexa     play music play radio  itunes play podcasts  anypod  set reminders  listen   flash briefing  news  weather  morning  rely   custom lists    able  voice control  volume    continue    usessometimes   bit frustrating  alexa doesnt understand   saying"
"23","    set     days  adding smart home devices    speaker    playing music    size    stationed   kitchen counter    intrusive  look "
"24"," love   plays  sleep sounds immediately   "
"25","    unit   bedroom   expecting  sounds   improved   didnt    difference    overall    improvement   st generation"
"26","amazing product"
"27"," love  echo  easy  operate loads  funit    advertised    mainly  play  favorite tunes  test alexas knowledge"
"28","sounds  love "
"29","fun item  play      using  sometimes  hard time answering  questions         "
"30","    "
"31"," learning   capabilitiesbut   pretty pretty pretty "
"32","  "
"33","     learning command   unique owners  users  alexa learn tashas birthday   alexa learn  definition  fine etc      "
"34"," speakers sound pretty       setup  pretty easy   bought    reason   rate       followed  instructions  synching music   units    ive   correctly   wont sync     primary motivation  purchasing multiple units"
"35"," device  awesome"
"36"," bought   compare  speaker quality    generation speaker     sound     ship    daughter          generation   chargeable base   bought     mobile      sound     "
"37","love  echo  learning       wasnt able  follow instructions included   package  found     utube"
"38","speaker    st generation echo"
"39","    cool            cool  "
"40","    digital assistant  im giving    review speaker      cheap price  prime day fun  play        alarm clock thats                echo   havent       definitely try itwhat         devices    connect   purchase    smart plug     connect  lamp  alexa    lights"
"41"," husband likes  able     listen  music   wish     capabilities"
"42"," android   allow alexa  connect fortunately  sister     apple cell   hour tech support fixed  glitches     running"
"43","   "
"44","tried  play  broadway   camelot    ne   camelot"
"45",""
"46"," satisfied   echo alexa  controls  lights   family    wife  listen  jimmy buffet    alexa"
"47","  siri   siri answers  accurately  alexa   dont   real      household      bargain  prime day deals"
"48","love  echo  learning       tons  fun"
"49"," love   "
"50","   apple  play  specific list  music     amazon  spotify plusprimeetc account     pay  play  music   stars   reason   else   "
"51","excelente lo unico es que  esta en español"
"52","im  learning         echo    sound  actually      expecting"
"53","  youd expect      sound quality considering price   sale  features"
"54"," sound   echo nd generation  phenomenal    mention    love alexa     helpful"
"55"," google "
"56","        play  learn        "
"57","  advertised  easy  setup  learning    "
"58"," sound  easy  set "
"59","love alexa bought   friends"
"60","love  echo  purchased   company   husband     alexa           name   tells   joke  plays  favorite songs"
"61",""
"62","love  able  listen  music easily  learning   features available"
"63","         device           overview"
"64","love   wish    built  hub"
"65","   primarily  play music    wonderfully   getting            amazon  sent  tips     thanks    help"
"66"," easy    set "
"67","fast response   amazing   concise answers  sound quality  fantastic   am  getting   alexia    usde echo    extent"
"68","youre   needna na nana"
